tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6,14,1358,23,35,3
6,14,1401,23,35,3
6,18,1525,25,33,3
6,27,1277,28,30,3
6,20,1164,23,35,3
6,18,1255,20,37,3
6,12,1420,16,41,3
6,26,26,32,28,3
6,17,1559,22,36,3
6,20,1432,25,33,3
6,18,1234,20,38,3
6,21,1538,21,37,3
6,12,1301,19,38,3
6,43,20,38,48,3
6,18,1292,18,39,3
6,25,1142,23,35,3
6,22,1452,25,34,3
6,20,1498,25,33,3
6,12,1404,15,42,3
6,29,1066,27,31,3
6,12,1704,18,39,3
6,17,1556,23,35,3
6,20,1555,22,36,3
6,18,1277,21,37,3
6,13,1319,17,40,3
6,15,1540,23,35,3
6,20,1521,23,35,3
6,16,1226,21,37,3
6,19,1152,23,35,3
6,25,1114,25,33,3
6,17,1564,21,36,3
6,13,1633,20,37,3
6,26,26,32,60,1
6,26,26,32,60,1
6,163,47,24,73,1
6,47,30,42,40,1
6,26,26,32,61,1
6,35,35,32,60,1
6,30,1150,27,70,1
6,52,0,64,0,1
17,0,78,0,64,1
6,26,26,32,60,1
6,26,26,32,60,1
6,55,26,32,59,1
6,27,26,25,73,1
6,97,62,25,73,1
6,39,17,42,79,1
6,26,26,32,115,1
6,31,20,38,95,1
6,31,20,38,95,1
6,27,17,36,91,1
6,47,30,42,40,1
6,25,1285,24,76,1
6,40,22,36,105,1
17,0,380,0,4,1
6,37,37,32,62,1
17,0,78,0,64,1
6,31,17,36,24,1
6,26,26,32,60,1
6,26,26,32,60,1
6,39,26,42,18,1
6,83,78,25,72,1
6,34,26,36,99,1
6,24,1284,24,75,1
6,55,26,32,59,1
6,37,37,32,62,1
6,50,32,42,81,1
6,50,32,42,77,1
6,50,32,42,81,1
6,40,22,36,105,1
17,0,78,0,64,1
17,0,380,0,4,1
6,26,26,32,60,1
6,26,26,32,60,1
6,40,19,40,45,1
6,45,72,32,59,1
6,40,19,40,45,1
6,29,1165,26,72,1
6,47,30,42,40,1
17,0,78,0,64,1
6,28,1226,25,74,1
6,31,20,38,48,1
6,31,20,38,48,1
6,55,26,32,59,1
6,88,50,24,75,1
6,34,17,42,18,1
6,34,17,42,18,1
6,37,37,32,62,1
6,21,1311,23,78,1
6,32,15,40,21,1
17,0,78,0,64,1
6,40,22,36,105,1
6,47,17,42,81,1
6,42,19,40,86,1
6,50,32,42,41,1
6,40,51,32,59,1
17,0,380,0,4,1
6,20,1390,21,80,1
6,26,75,32,59,1
17,0,78,0,64,1
6,90,50,24,75,1
6,38,20,36,51,1
6,22,885,25,73,1
6,55,26,32,59,1
17,0,380,0,4,1
17,0,78,0,64,1
6,40,19,40,45,1
6,23,1372,23,78,1
6,110,97,23,77,1
17,34,61,32,32,1
17,0,78,0,64,1
6,40,22,36,53,1
6,30,1207,25,73,1
6,55,26,32,59,1
6,90,75,23,76,1
6,25,1368,22,80,1
6,88,50,24,75,1
6,24,1268,23,77,1
17,0,380,0,4,1
6,24,1431,21,82,1
6,55,26,32,59,1
17,0,78,0,64,1
6,26,1229,24,76,1
6,92,75,26,70,1
17,0,78,0,64,1
6,88,50,24,75,1
6,55,26,32,59,1
6,30,1150,27,71,1
6,37,37,32,62,1
6,25,1258,24,75,1
6,98,93,25,72,1
17,0,380,0,4,1
6,55,26,32,59,1
17,0,78,0,64,1
6,88,50,24,75,1
6,17,1568,16,92,1
17,0,380,0,4,1
6,98,104,25,72,1
17,0,78,0,64,1
6,55,26,32,59,1
6,23,1301,23,78,1
6,25,1287,25,73,1
17,0,78,0,64,1
17,0,380,0,4,1
6,89,50,24,75,1
6,55,26,32,59,1
6,21,1403,21,81,1
17,0,78,0,64,1
17,0,380,0,4,1
6,30,1155,27,70,1
6,29,1194,25,73,1
6,23,1350,22,80,1
17,0,78,0,64,1
6,55,26,32,59,1
6,26,26,32,122,1
6,26,26,32,122,1
6,26,1271,24,75,1
6,22,1349,22,79,1
17,29,131,32,32,1
6,36,747,24,75,1
6,26,26,32,122,1
6,67,549,27,69,1
6,55,26,32,59,1
17,0,78,0,64,1
17,0,380,0,4,1
6,20,22,32,119,1
17,42,71,32,32,1
6,29,1127,27,71,1
6,131,327,32,62,1
17,39,64,32,32,1
17,28,97,32,32,1
6,48,654,32,60,1
6,61,249,31,63,1
17,29,55,32,32,1
6,86,125,36,51,1
6,86,125,36,51,1
6,55,26,32,59,1
6,36,1079,31,60,1
6,364,48,27,68,1
6,26,26,32,122,1
6,26,26,32,62,1
6,26,26,32,60,1
6,26,26,32,60,1
6,33,1083,28,68,1
17,0,380,0,4,1
6,90,61,24,73,1
17,36,99,32,32,1
6,60,437,32,116,1
6,90,359,36,101,1
17,31,67,32,32,1
6,99,160,37,23,1
6,109,178,38,22,1
17,28,88,32,32,1
17,40,85,32,32,1
6,59,406,34,25,1
6,104,246,37,94,1
6,88,247,37,95,1
6,89,244,37,94,1
6,115,283,37,97,1
6,107,259,36,98,1
6,105,269,37,95,1
6,36,18,42,18,1
6,64,96,34,25,1
6,36,18,42,18,1
17,31,108,32,32,1
6,74,230,35,101,1
6,39,1008,30,63,1
6,26,26,28,68,1
6,55,26,32,59,1
6,27,26,25,74,1
6,26,26,32,60,1
6,26,26,32,60,1
17,0,78,0,64,1
17,0,380,0,4,1
6,32,1218,21,81,1
6,39,1029,31,61,1
6,26,26,32,116,1
6,26,26,32,116,1
6,26,26,32,28,1
6,26,26,32,116,1
6,26,26,32,28,1
6,26,26,32,116,1
6,26,26,32,115,1
6,26,26,32,115,1
6,26,26,32,116,1
6,26,26,32,114,1
6,34,26,36,98,1
6,26,26,32,27,1
6,73,17,42,39,1
17,0,78,0,64,1
6,37,37,32,61,1
6,37,37,32,61,1
6,26,26,28,68,1
6,26,26,32,60,1
6,26,26,32,60,1
17,0,380,0,4,1
6,105,108,25,72,1
6,50,32,42,18,1
6,42,1069,23,78,1
17,42,76,32,32,1
6,26,26,32,115,1
6,26,26,32,116,1
6,34,26,36,99,1
6,34,26,36,99,1
6,31,31,32,115,1
6,39,22,42,77,1
6,34,26,36,98,1
6,34,26,36,99,1
6,26,26,32,28,1
6,26,26,32,28,1
6,26,26,32,27,1
6,40,49,32,59,1
6,28,23,35,53,1
6,28,23,35,53,1
6,39,990,32,60,1
6,26,26,28,68,1
17,0,380,0,4,1
17,0,78,0,64,1
6,40,22,36,52,1
6,33,1170,27,70,1
17,0,380,0,4,1
6,80,50,24,75,1
6,39,964,31,61,1
6,29,24,37,96,1
6,29,24,37,96,1
6,29,22,36,24,1
6,29,22,36,24,1
6,29,22,36,23,1
6,26,26,28,68,1
17,0,151,0,1,1
6,55,26,32,59,1
17,0,78,0,64,1
6,50,32,42,18,1
17,43,112,32,32,1
6,84,258,37,94,1
6,86,136,36,24,1
17,31,55,32,32,1
17,0,89,0,255,1
17,42,76,32,32,1
6,69,935,25,73,1
17,0,89,0,255,1
17,0,78,0,64,1
6,39,972,31,61,1
6,81,50,24,75,1
6,26,26,28,68,1
6,26,26,32,28,1
6,26,26,32,114,1
6,55,26,32,59,1
17,0,151,0,1,1
6,47,17,42,41,1
17,0,380,0,4,1
6,34,1125,27,69,1
17,73,99,26,31,2
6,49,45,32,26,2
17,0,151,0,1,2
6,26,52,32,28,2
6,20,20,32,28,2
17,0,78,0,64,2
17,0,380,0,4,2
17,68,98,26,31,2
6,50,45,31,26,2
6,28,47,32,28,2
17,0,78,0,64,2
17,0,151,0,1,2
6,20,20,32,28,2
17,0,380,0,4,2
17,73,97,26,30,2
6,48,45,32,26,2
6,20,20,32,28,2
17,0,151,0,1,2
17,0,380,0,4,2
17,0,78,0,64,2
6,186,33,36,24,2
6,20,97,32,28,2
17,92,103,29,28,2
6,52,44,33,25,2
6,32,28,32,28,2
17,0,78,0,64,2
17,0,380,0,4,2
17,0,151,0,1,2
17,67,116,23,33,2
6,49,48,33,25,2
6,20,20,32,28,2
17,0,78,0,64,2
17,0,151,0,1,2
17,78,95,28,29,2
17,0,380,0,4,2
6,46,49,32,26,2
17,0,151,0,1,2
17,0,78,0,64,2
6,26,84,32,28,2
6,189,33,36,24,2
6,45,49,32,26,2
17,91,105,28,29,2
17,0,151,0,1,2
17,0,380,0,4,2
6,20,20,32,28,2
17,0,78,0,64,2
17,92,103,29,28,2
6,45,49,32,26,2
17,0,151,0,1,2
6,20,22,32,121,2
17,0,380,0,4,2
17,0,78,0,64,2
6,49,45,32,26,2
17,101,66,35,23,2
6,20,142,32,28,2
17,0,151,0,1,2
6,149,30,35,24,2
6,20,20,32,28,2
17,0,78,0,64,2
17,0,380,0,4,2
17,27,163,9,45,2
6,40,54,32,26,2
17,0,151,0,1,2
17,0,78,0,64,2
6,28,47,32,28,2
17,74,116,23,33,2
6,39,57,32,26,2
6,20,95,32,28,2
17,0,380,0,4,2
6,188,33,36,24,2
17,0,78,0,64,2
17,0,151,0,1,2
17,109,84,34,24,2
6,28,49,32,28,2
6,53,41,32,26,2
17,0,151,0,1,2
17,59,135,20,36,2
17,0,78,0,64,2
6,43,52,32,26,2
6,20,77,32,28,2
17,0,380,0,4,2
6,20,20,32,28,2
17,0,151,0,1,2
17,55,148,17,38,2
6,40,57,32,26,2
17,0,78,0,64,2
6,28,47,32,28,2
6,20,20,32,28,2
17,0,151,0,1,2
17,0,380,0,4,2
17,66,128,22,34,2
6,46,51,33,25,2
6,188,33,36,24,2
17,0,78,0,64,2
6,20,88,32,28,2
17,0,151,0,1,2
17,108,99,32,26,2
6,47,48,32,25,2
6,20,20,32,28,2
17,0,380,0,4,2
17,0,151,0,1,2
17,0,78,0,64,2
6,20,67,32,28,2
17,127,71,38,20,2
6,45,49,32,26,2
17,0,151,0,1,2
17,0,78,0,64,2
17,0,380,0,4,2
6,20,83,32,28,2
17,111,81,34,24,2
6,40,57,30,27,2
17,0,151,0,1,2
6,16,36,25,33,2
6,20,74,32,28,2
17,0,78,0,64,2
6,188,33,36,24,2
17,97,101,31,26,2
6,49,46,32,26,2
17,0,151,0,1,2
17,0,380,0,4,2
6,32,28,32,28,2
17,75,131,24,32,2
6,20,74,32,28,2
6,50,44,32,26,2
17,0,78,0,64,2
17,0,151,0,1,2
17,0,380,0,4,2
17,63,140,20,36,2
6,44,51,32,26,2
6,28,66,32,28,2
17,0,151,0,1,2
17,0,380,0,4,2
17,0,78,0,64,2
6,188,33,36,24,2
17,62,145,20,36,2
6,48,46,32,26,2
17,0,151,0,1,2
17,83,123,26,31,2
6,51,44,32,25,2
17,0,78,0,64,2
17,0,151,0,1,2
17,0,380,0,4,2
6,32,28,32,28,2
17,70,141,21,34,2
6,47,47,32,26,2
17,0,151,0,1,2
17,0,78,0,64,2
6,20,20,32,28,2
17,72,139,22,34,2
6,48,46,32,26,2
17,0,380,0,4,2
17,0,151,0,1,2
17,0,78,0,64,2
6,189,33,36,24,2
17,85,115,27,30,2
6,45,49,32,26,2
17,0,151,0,1,2
6,32,27,32,28,2
17,0,380,0,4,2
17,115,84,35,23,2
6,43,54,32,25,2
6,20,97,32,28,2
17,0,151,0,1,2
17,83,116,27,30,2
6,45,51,31,26,2
17,0,78,0,64,2
17,0,151,0,1,2
17,0,380,0,4,2
6,20,20,32,28,2
6,32,28,32,28,2
17,96,103,30,27,2
6,43,52,31,26,2
17,0,151,0,1,2
17,0,78,0,64,2
6,189,33,36,24,2
17,0,380,0,4,2
6,20,77,32,28,2
17,76,126,25,32,2
6,48,45,31,26,2
17,0,151,0,1,2
17,0,78,0,64,2
6,20,70,32,28,2
17,36,113,32,32,4
6,190,205,36,99,4
17,36,44,32,32,4
6,72,182,35,50,4
17,30,34,32,32,4
6,77,222,33,30,4
17,36,101,32,32,4
6,74,125,35,21,4
6,55,26,32,59,4
6,123,177,36,27,4
17,0,78,0,64,4
17,30,78,32,32,4
6,51,125,26,68,4
17,28,72,32,32,4
6,25,1065,22,79,4
17,31,86,32,32,4
6,86,381,36,24,4
17,34,66,32,32,4
6,63,182,37,43,4
6,61,175,38,42,4
6,61,175,38,42,4
6,67,196,37,42,4
6,63,182,37,44,4
6,27,970,23,75,4
17,29,55,32,32,4
6,82,109,40,41,4
6,82,109,40,41,4
6,82,109,40,41,4
6,82,109,40,41,4
6,82,109,40,41,4
17,27,99,32,32,4
6,84,360,35,107,4
6,32,1067,29,65,4
17,31,118,32,32,4
17,35,164,32,32,4
6,102,235,38,45,4
17,31,55,32,32,4
6,72,111,35,24,4
6,46,1032,20,83,4
6,26,26,32,116,4
6,26,26,32,24,4
6,26,26,32,28,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,28,65,19,84,4
17,32,115,32,32,4
6,225,534,32,113,4
17,36,72,32,32,4
6,87,162,36,102,4
17,31,102,32,32,4
6,113,405,35,107,4
17,29,96,32,32,4
6,57,677,34,51,4
17,32,92,32,32,4
6,86,147,36,23,4
6,26,26,32,60,4
6,26,77,32,59,4
6,233,495,34,50,4
17,39,131,32,32,4
17,32,43,32,32,4
17,37,73,32,32,4
6,68,431,34,106,4
6,55,496,29,30,4
6,55,26,32,59,4
6,33,20,42,79,4
6,176,696,32,115,4
6,168,369,30,124,4
6,144,108,36,101,4
17,29,97,32,32,4
6,64,517,36,99,4
6,84,610,35,104,4
6,85,134,36,23,4
6,116,223,32,115,4
6,102,356,34,109,4
6,33,20,42,79,4
6,56,633,37,99,4
6,33,20,42,79,4
6,33,20,42,79,4
6,221,71,38,92,4
6,26,26,32,24,4
6,26,26,32,28,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,119,4
6,26,26,32,27,4
6,26,26,32,60,4
6,26,26,32,119,4
6,26,26,32,56,4
6,26,26,32,55,4
6,110,215,38,95,4
6,37,807,32,115,4
17,0,380,0,4,4
6,33,20,42,79,4
6,33,20,42,79,4
6,33,20,42,79,4
6,33,17,42,12,4
17,0,78,0,64,4
6,43,689,26,139,4
6,33,20,42,79,4
6,33,20,42,79,4
6,56,232,34,101,4
6,92,177,37,97,4
17,43,117,32,32,4
17,40,113,32,32,4
6,74,328,33,110,4
6,39,26,42,18,4
6,34,59,23,75,4
17,30,78,32,32,4
6,33,801,22,77,4
17,36,67,32,32,4
6,170,15,48,26,4
6,170,15,48,26,4
6,76,334,34,48,4
6,170,15,48,26,4
6,104,226,36,45,4
6,76,334,34,48,4
6,26,26,32,27,4
6,26,26,32,119,4
6,26,26,32,115,4
6,26,26,32,119,4
6,26,26,32,119,4
6,26,26,32,119,4
6,26,26,32,56,4
6,40,46,32,59,4
6,26,26,32,55,4
6,50,32,42,40,4
6,26,26,32,116,4
6,26,26,32,115,4
6,108,178,38,22,4
6,26,26,32,119,4
17,0,78,0,64,4
6,26,26,32,28,4
6,26,26,32,24,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,119,4
6,26,26,32,119,4
17,0,380,0,4,4
6,48,151,24,74,4
17,30,60,32,32,4
6,50,871,29,22,4
17,37,73,32,32,4
6,30,1190,28,131,4
6,66,295,37,100,4
6,35,35,32,60,4
6,37,37,32,60,4
17,32,62,32,32,4
6,92,291,34,23,4
17,37,74,32,32,4
17,33,65,32,32,4
6,78,424,34,109,4
6,80,459,32,119,4
6,60,0,64,0,4
6,188,64,37,96,4
6,26,29,28,128,4
6,26,27,29,129,4
6,68,663,30,22,4
6,46,13,48,59,4
6,37,20,38,95,4
6,153,377,32,26,4
6,84,100,30,122,4
6,26,26,32,24,4
6,26,26,32,28,4
6,55,26,32,59,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,34,26,36,102,4
6,52,534,28,131,4
6,43,610,31,118,4
6,37,662,29,125,4
6,87,227,29,125,4
6,108,72,30,122,4
6,109,53,30,122,4
6,33,20,42,78,4
6,46,742,35,105,4
6,33,20,42,78,4
6,87,107,32,117,4
6,148,41,34,106,4
6,62,31,35,104,4
6,26,26,32,119,4
6,26,26,32,27,4
6,23,31,25,142,4
6,26,27,29,124,4
6,26,26,32,119,4
6,29,29,32,28,4
6,26,26,32,119,4
6,26,26,32,119,4
6,26,26,32,56,4
6,26,26,32,55,4
6,26,26,32,27,4
6,50,32,42,77,4
17,0,380,0,4,4
6,31,17,36,24,4
17,0,78,0,64,4
6,50,32,42,77,4
6,33,51,28,67,4
17,35,62,32,32,4
17,28,92,32,32,4
6,32,1126,25,34,4
6,34,1049,26,32,4
6,60,562,33,26,4
17,30,85,32,32,4
6,34,952,24,33,4
6,24,971,32,27,4
6,35,1037,27,31,4
17,34,66,32,32,4
6,48,832,27,32,4
17,31,77,32,32,4
17,33,88,32,32,4
6,56,359,30,28,4
6,60,287,32,28,4
6,163,216,42,18,4
6,57,334,35,24,4
6,37,1023,26,32,4
6,26,26,32,27,4
6,26,26,32,117,4
6,123,73,35,50,4
17,35,85,32,32,4
6,28,787,24,34,4
6,27,1226,22,36,4
6,26,26,32,119,4
6,34,17,42,16,4
17,30,94,32,32,4
6,80,586,34,25,4
6,60,288,36,23,4
6,32,23,35,105,4
6,26,26,32,119,4
17,0,380,0,4,4
6,50,32,42,40,4
6,26,26,32,55,4
6,26,26,32,116,4
6,26,26,32,117,4
17,0,78,0,64,4
6,26,26,32,27,4
6,26,26,32,28,4
6,26,26,32,27,4
6,31,20,38,22,4
6,26,26,32,26,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,26,32,60,4
6,26,30,27,31,4
6,26,26,32,27,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,117,4
6,26,26,32,119,4
6,35,35,32,60,4
17,32,98,32,32,4
6,67,336,37,22,4
6,47,30,42,40,4
6,45,653,35,24,4
6,26,26,32,27,4
6,54,577,34,26,4
6,56,547,33,26,4
6,41,625,34,24,4
6,197,92,42,37,4
6,26,26,32,60,4
6,26,26,32,60,4
