tran_proto,avg_sent_len,avg_rec_len,avg_sent_ttl,average_rec_ttl,label
1,52,40,128,64,1
0,78,0,128,0,1
1,40,1301.25,128,64,1
1,62.15,1313.89,128,54,1
1,68.67,1091.89,128,54,1
1,30,988.62,128,112,1
1,40,50.33,128,235,1
0,0,237,0,255,1
1,236.8,145.5,128,64,1
0,63,79,128,119,1
1,40,40,128,238,1
1,0,40,0,56,1
0,0,105,0,119,1
0,180.18,440.73,128,56.73,1
1,0,40,0,56,1
0,429.2,0,1,0,1
1,0,60,0,64,1
1,61,88,128,118,1
1,0,52,0,120,1
1,0,52,0,120,1
1,0,52,0,120,1
0,460.73,176.73,128,57,1
0,429.2,0,1,0,1
1,0,60,0,64,1
1,596,40,128,50,1
1,0,40,0,244,1
0,0,0,0,0,1
0,0,79,0,120,1
0,0,78,0,119,1
0,0,78,0,120,1
0,201,0,1,0,1
1,596,40,128,50,1
0,0,346,0,64,1
0,0,346,0,64,1
1,61,101.6,128,118,1
1,86.78,896.56,128,112,1
1,65.77,1167.07,128,54,1
1,57.55,1196.64,128,54,1
0,429.2,0,1,0,1
1,0,60,0,64,1
0,130.38,323.62,128,56,1
1,0,52,0,120,1
1,442,40,128,50,1
1,40,40,128,237,1
0,161,0,128,0,1
0,161,0,128,0,1
1,40,40,128,237,1
1,40,40,128,237,1
1,40,40,128,235,1
0,0,76,0,119,1
0,280.83,344.4,128,57,1
0,491.25,419.18,128,56,1
0,0,105,0,120,1
0,559.62,354.24,128,56.71,1
0,429.2,0,1,0,1
1,0,60,0,64,1
0,0,237,0,255,1
1,0,52,0,120,1
1,0,52,0,120,1
1,40,58.75,128,120,1
1,233.2,203.6,128,64,1
1,77,58.5,128,45,1
1,240.6,149.5,128,64,1
1,40,165,128,110,1
0,429.2,0,1,0,1
1,0,60,0,64,1
1,306,101.8,128,235,1
1,40,40,128,235,1
1,0,40,0,244,1
1,40,40,128,235,1
0,0,106,0,119,1
1,68.26,1269.24,128,46,1
1,120.38,846.78,128,46,1
0,57,73,128,120,1
1,117.43,839.13,128,46,1
1,106.88,1268.38,128,46,1
0,147.75,399,128,57,1
0,0,108,0,119,1
1,298.5,46,128,46,1
1,77,64.67,128,45,1
1,0,60,0,64,1
1,30,883.22,128,112,1
1,55.03,1254.01,128,54,1
1,71.46,1065.4,128,54,1
1,0,40,0,244,1
1,40,57.8,128,235,1
1,0,52,0,120,1
1,0,40,0,46,1
1,0,52,0,46,1
0,198.33,184.8,128,57,1
1,442,40,128,50,1
0,0,89,0,119,1
0,481.45,429.69,128,56.54,1
0,78,0,128,0,1
0,50,0,1,0,1
0,429.2,0,1,0,1
1,0,60,0,64,1
1,0,40,0,118,1
1,0,52,0,120,1
0,0,0,0,0,1
1,0,60,0,64,2
0,60.42,1370.86,128,56,2
0,475,83.89,128,57,2
0,0,48,0,56,2
0,0,50,0,57,2
1,40,209,128,118,2
1,40,55.5,128,46,2
0,0,237,0,255,2
0,429.2,0,1,0,2
1,0,60,0,64,2
1,0,40,0,244,2
0,291,0,128,0,2
0,429.2,0,1,0,2
0,78,123,128,120,2
0,63.42,1367.2,128,57,2
1,0,60,0,64,2
0,60.38,1368.67,128,56,2
1,58,105.83,128,118,2
1,41,52,128,54,2
1,41,52,128,54,2
0,429.2,0,1,0,2
1,0,60,0,64,2
1,84,44,128,64,2
0,311.86,118.36,128,57,2
1,40.5,40,128,64,2
0,0,337.5,0,64,2
1,80.75,262,128,64,2
1,73.8,728,128,64,2
1,71.25,43,128,64,2
0,0,0,0,0,2
0,148,0,1,0,2
0,0,315.25,0,64,2
0,0,70,0,119,2
0,78,0,128,0,2
0,70,0,1,0,2
1,40,165,128,110,2
0,429.2,0,1,0,2
0,0,298,0,64,2
0,0,298,0,64,2
1,0,60,0,64,2
1,52,40,128,64,2
0,0,237,0,255,2
0,0,70,0,120,2
0,70,0,1,0,2
1,52,40,128,64,2
1,0,40,0,244,2
0,161,0,128,0,2
0,161,0,128,0,2
0,70,0,1,0,2
1,40,58.75,128,120,2
1,596,40,128,50,2
0,0,70,0,120,2
0,78,0,128,0,2
0,70,0,1,0,2
0,429.2,0,1,0,2
1,0,60,0,64,2
1,0,52,0,120,2
0,201,0,1,0,2
0,0,346,0,64,2
0,0,346,0,64,2
1,236.8,145.5,128,64,2
1,77,58.5,128,45,2
1,442,40,128,50,2
0,429.2,0,1,0,2
1,0,60,0,64,2
0,0,0,0,0,2
0,420.17,0,1,0,3
1,40.82,168.08,128,54,3
0,223.44,72.47,128,49,3
1,0,60,0,64,3
1,97.43,53.76,128,49,3
0,78,0,128,0,3
1,41,52,128,54,3
0,0,70,0,120,3
0,78,0,128,0,3
0,70,0,1,0,3
1,77,62.2,128,45,3
1,41,52,128,120,3
0,161,0,128,0,3
0,161,0,128,0,3
0,0,171.4,0,153.4,3
1,596,91.4,128,50,3
1,41,52,128,54,3
1,61,119.5,128,118,3
1,41,52,128,54,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,40.33,61.75,128,120,3
1,178.4,59.86,128,54,3
1,40,48,128,55,3
0,201,0,1,0,3
0,0,346,0,64,3
0,0,346,0,64,3
1,40.33,60.2,128,238,3
1,41,52,128,45,3
1,40.33,60.2,128,238,3
1,41,52,128,48.5,3
0,429.2,0,1,0,3
1,40.25,57.4,128,120,3
1,0,60,0,64,3
1,40.25,57.4,128,120,3
1,41,52,128,55,3
1,41,52,128,47,3
1,41,40,128,244,3
0,0,0,0,0,3
1,41,52,128,238,3
1,236.8,166.6,128,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,84,44,128,64,3
0,0,195,0,120,3
1,208.33,581.14,128,235,3
0,0,308,0,64,3
1,62.83,666.12,128,64,3
1,102.5,44,128,64,3
1,72.8,222.5,128,64,3
1,67.2,259.2,128,64,3
1,63,958.36,128,64,3
1,59.86,1007.46,128,64,3
1,69,164.2,128,64,3
1,62.17,616.86,128,64,3
1,69,164.2,128,64,3
1,76,296,128,64,3
1,69,164.2,128,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,52,40,128,64,3
1,52,40,128,64,3
1,442,40,128,50,3
0,148,0,1,0,3
0,0,315.25,0,64,3
0,0,70,0,120,3
0,70,0,1,0,3
0,0,298,0,64,3
0,0,298,0,64,3
0,0,70,0,119,3
0,70,0,1,0,3
0,78,0,128,0,3
0,56,0,1,0,3
0,50,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,70,0,1,0,3
0,0,70,0,120,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,41,40,128,120,3
0,220.97,72.53,128,49,3
0,0,204,0,120,3
1,41,40,128,244,3
1,101.4,422.44,128,235,3
0,161,0,128,0,3
0,161,0,128,0,3
1,98.05,52.67,128,49,3
1,40.95,167.23,128,54,3
1,52,40,128,64,3
1,40.5,48.6,128,238,3
1,167.29,104.05,128,54,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,41,52,128,120,3
1,61,103.46,128,118,3
0,148,0,1,0,3
0,0,316.53,0,64,3
0,0,70,0,120,3
0,78,0,128,0,3
0,70,0,1,0,3
0,0,298,0,64,3
0,0,298,0,64,3
0,201,0,1,0,3
1,596,91.4,128,50,3
0,0,346,0,64,3
0,0,346,0,64,3
0,0,70,0,119,3
0,70,0,1,0,3
1,41,52,128,54,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,41,52,128,54,3
0,70,0,1,0,3
0,0,237,0,255,3
0,0,0,0,0,3
0,0,70,0,119,3
0,78,0,128,0,3
0,70,0,1,0,3
1,41,52,128,54,3
1,40,71,128,49,3
1,40.67,48.6,128,49.2,3
1,40.5,48.6,128,49.2,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,77,62.2,128,45,3
1,41,52,128,55,3
1,40.5,48.6,128,47.4,3
1,236.8,145.5,128,64,3
1,442,91.4,128,50,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,70,0,120,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,70,0,120,3
0,70,0,1,0,3
0,70,0,1,0,3
1,236.8,166.6,128,64,3
0,0,70,0,119,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,116,0,120,3
1,120.7,548.79,128,115.57,3
0,220.02,72.87,128,49,3
1,62.5,111.31,128,118,3
1,41.14,187.19,128,54,3
1,104.17,49.31,128,49,3
0,0,237,0,255,3
0,0,0,0,0,3
0,0,337.5,0,64,3
1,80.75,262,128,64,3
1,73.8,728,128,64,3
1,71.25,43,128,64,3
1,72.8,222.5,128,64,3
1,236.8,145.5,128,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,52,40,128,64,3
1,41,52,128,120,3
1,596,104.25,128,50,3
1,52,40,128,64,3
0,161,0,128,0,3
0,161,0,128,0,3
1,40,40,128,115.67,3
1,202.5,66.89,128,54,3
0,148,0,1,0,3
0,0,316.53,0,64,3
0,0,70,0,120,3
0,78,0,128,0,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,298,0,64,3
0,0,298,0,64,3
0,0,70,0,119,3
0,70,0,1,0,3
1,77,62.2,128,45,3
1,442,91.4,128,50,3
0,70,0,1,0,3
1,41,52,128,54,3
0,201,0,1,0,3
1,41,52,128,54,3
0,0,346,0,64,3
0,0,346,0,64,3
0,0,70,0,119,3
0,78,0,128,0,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,40.33,58.83,128,55,3
1,41,40,128,244,3
0,0,0,0,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,40,46,128,49,3
1,40,46,128,54,3
1,52,40,128,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
1,236.8,145.5,128,64,3
1,40,55.5,128,56,3
1,52,40,128,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,70,0,120,3
0,70,0,1,0,3
0,0,70,0,120,3
0,70,0,1,0,3
0,70,0,1,0,3
0,429.2,0,1,0,3
1,0,60,0,64,3
0,0,70,0,119,3
0,70,0,1,0,3
1,45.02,1494.8,128,119,4
1,45.57,1500,128,119,4
1,43.34,1500,128,119,4
1,40,1500,128,119,4
1,44.06,1497.26,128,119,4
1,42.27,1500,128,119,4
1,42.98,1495.05,128,119,4
1,55.18,1500,128,119,4
1,106.8,1463.5,128,119,4
1,40,1500,128,119,4
1,40,1481.36,128,119,4
1,43.31,1495.21,128,119,4
1,50.92,1496.73,128,119,4
1,40.11,1486.64,128,119,4
1,45.26,1489.5,128,119,4
1,42.59,1500,128,119,4
1,173.6,0,128,0,4
1,40,1500,128,119,4
1,40,1491.5,128,119,4
1,46.19,1500,128,119,4
1,45.57,1500,128,119,4
1,45.96,1496.33,128,119,4
1,45.93,1496.76,128,119,4
1,106.8,1500,128,119,4
1,45.1,1490.59,128,119,4
1,40,1500,128,119,4
1,262.67,0,128,0,4
1,46.13,1493.03,128,119,4
1,41.3,1497.33,128,119,4
1,70.36,1500,128,119,4
1,40,1500,128,119,4
1,135.43,0,128,0,4
1,51.79,1500,128,119,4
1,67.81,1500,128,119,4
1,40,1492.57,128,119,4
1,62.81,1500,128,119,4
1,42.98,1497.42,128,119,4
1,0,0,0,0,4
1,57.58,1500,128,119,4
1,49.28,1500,128,119,4
1,40,1497.67,128,119,4
1,41.88,1500,128,119,4
1,42.35,1500,128,119,4
0,0,0,0,0,4
1,47.59,1500,128,119,4
1,50.95,1500,128,119,4
1,42.83,1493.92,128,119,4
1,43.06,1500,128,119,4
1,43.53,1496.47,128,119,4
1,117.08,1354,128,119,4
1,50.95,1494.85,128,119,4
1,43.24,1488.14,128,119,4
1,40,1500,128,119,4
1,54.21,1489.57,128,119,4
0,429.2,0,1,0,4
1,123.5,0,128,0,4
1,67.08,1500,128,119,4
0,70,0,128,0,4
1,46.96,1486.08,128,119,4
0,78,0,128,0,4
0,70,0,1,0,4
1,59.65,1500,128,119,4
1,44.77,1495.24,128,119,4
1,0,0,0,0,4
